"Energy_kcal" "Protein_g" "Fat_g" "Carb_g" "Sugar_g" "Fiber_g"
394 12.02 11.02 66.73 26.34 7.1
361 16.5 6.28 64.21 1.27 13
351 9.19 1.7 84.3 20.2 10.8
347 7.4 2.9 81.19 31.29 9.2
342 8.69 0.8 79.9 23.39 5
380 5.3 3.9 87.3 40.29 8.6
401 7.3 10.89 76.4 31.7 9.4
349 7.3 2.5 82.69 31.29 9.6
364 7.59 1.29 86.59 20.7 9.6
370 14.1 10.39 61.9 23.79 9.2
361 15 8.39 63.29 22.39 9.3
371 15.39 9.89 62.09 22 9.3
376 8.6 4.09 84 18.5 9.8
375 7.59 5.09 81.5 27.5 10.3
343 9.1 1.6 82.1 17.2 10.8
400 7.1 3.33 84.7 36.13 4.3
371 11.43 2.86 81.5 5.71 11.4
409 7.7 7.3 79.6 20 5.5
403 9 10.5 73 15.4 9.7
378 7.9 7.1 74.3 24.1 9.3
390 9.8 8.8 70.9 17.5 11.2
352 11.2 3.3 75.7 20 9.1
388 9.5 6.3 73.8 23.2 8.5
385 7.1 5.6 76.2 23.6 9.7
339 10.89 2.09 80.59 0.8 14.7
354 13 3.4 80 0.55 2.7
380 10 3 78 22 8
401 7.12 5.46 81.19 19.79 4.2
